Number,MAC,SSID,Frequency,Signal,LAT,LON,ALT,Time,Aprrox. w-center Algo1
1,1c:b9:c4:15:42:68,Ariel_University,2462,-86.0,32.104857024876544,35.210807843935434,690.0233910129266,2017-12-03 08:53:39,Aprrox. w-center Algo1
2,1c:b9:c4:15:44:58,Ariel_University,2462,-88.0,32.10488368580437,35.2109278899666,691.4192044864501,2017-12-03 08:53:08,Aprrox. w-center Algo1
3,1c:b9:c4:16:2d:e8,Ariel_University,2462,-91.0,32.104759929925926,35.21030941016326,687.2863071626666,2017-12-03 08:53:57,Aprrox. w-center Algo1
4,1c:b9:c4:15:25:48,Ariel_University,2412,-88.0,32.10483179488688,35.21036962696832,686.9999999999999,2017-12-03 08:53:27,Aprrox. w-center Algo1
5,1c:b9:c4:16:05:38,Ariel_University,2462,-90.0,32.10423687110892,35.209664232168684,685.4738139539982,2017-12-03 08:53:33,Aprrox. w-center Algo1
6,00:11:6b:11:7e:0c,yosh,2412,-93.0,32.104653167283665,35.210920243042985,691.3914040114612,2017-12-03 08:55:51,Aprrox. w-center Algo1
7,1c:b9:c4:15:44:88,Ariel_University,2437,-88.0,32.10458831106194,35.21104487035398,692.796460176991,2017-12-03 08:53:36,Aprrox. w-center Algo1
8,1c:b9:c4:15:ed:48,Ariel_University,2412,-89.0,32.104573925168545,35.21121279369665,694.3731327833337,2017-12-03 08:53:36,Aprrox. w-center Algo1
9,c2:6c:ac:a0:7b:4d,outsense,2462,-80.0,32.10474329561255,35.21006092041865,687.9477800510779,2017-12-03 08:53:39,Aprrox. w-center Algo1
10,a2:6c:ac:a0:7b:4d,Guest,2462,-82.0,32.1047907801037,35.21015409343817,688.5715257118572,2017-12-03 08:53:39,Aprrox. w-center Algo1
11,c2:6c:ac:9f:fb:1f,shapedo,2412,-83.0,32.1045210260075,35.2097242081525,686.518181150371,2017-12-03 08:54:00,Aprrox. w-center Algo1
12,1c:b9:c4:16:2b:e8,Ariel_University,2437,-87.0,32.104862322887676,35.21078094147116,692.7648360769124,2017-12-03 08:56:08,Aprrox. w-center Algo1
13,90:6c:ac:a0:7b:4d,EVE,2462,-83.0,32.1047375133588,35.210052631363084,687.4086695278969,2017-12-03 08:53:39,Aprrox. w-center Algo1
14,1c:b9:c4:15:41:78,Ariel_University,2412,-90.0,32.10443396039875,35.21083206837683,694.780305912792,2017-12-03 08:53:39,Aprrox. w-center Algo1
15,1c:b9:c4:14:2b:c8,Ariel_University,2437,-90.0,32.10484981771547,35.211049231927326,693.9879864159316,2017-12-03 08:53:39,Aprrox. w-center Algo1
16,1c:b9:c4:16:05:78,Ariel_University,2437,-91.0,32.10475928403476,35.21038662614265,690.8784427755979,2017-12-03 08:56:08,Aprrox. w-center Algo1
17,00:1a:dd:f5:df:c5,Afikim_Wifi,2437,-87.0,32.10475343,35.21007474,689.0,2017-12-03 08:53:42,Aprrox. w-center Algo1
18,74:ea:3a:ad:d1:50,TP-LINK_ADD150,2427,-88.0,32.10464282796882,35.20987861646541,687.7614554178328,2017-12-03 08:53:42,Aprrox. w-center Algo1
19,90:6c:ac:a0:60:4d,Guest,2412,-69.0,32.10466627,35.20990936,687.0,2017-12-03 08:53:45,Aprrox. w-center Algo1
20,a2:6c:ac:a0:60:4d,incentive2,2412,-70.0,32.10466627,35.20990936,687.0,2017-12-03 08:53:45,Aprrox. w-center Algo1
21,70:5a:0f:57:04:17,DIRECT-B1-HP DeskJet 3830 series,2462,-74.0,32.10466627,35.20990936,687.0,2017-12-03 08:53:45,Aprrox. w-center Algo1
22,1c:b9:c4:96:05:37, ,5180,-83.0,32.10466627,35.20990936,687.0,2017-12-03 08:53:45,Aprrox. w-center Algo1
23,1c:b9:c4:15:23:58,Ariel_University,2437,-85.0,32.10422291573444,35.209310300322294,686.4634635377989,2017-12-03 08:53:48,Aprrox. w-center Algo1
24,24:79:2a:2c:5b:d8,Ariel_University,2412,-87.0,32.10410349065199,35.21009590745047,698.206198948783,2017-12-03 08:55:36,Aprrox. w-center Algo1
25,90:6c:ac:9f:f1:c5,CliClap,2417,-87.0,32.1040048072602,35.20920836265235,686.5295599244386,2017-12-03 08:54:15,Aprrox. w-center Algo1
26,a2:6c:ac:a0:18:29,artsim,2437,-80.0,32.10440239,35.20946023,687.0,2017-12-03 08:53:54,Aprrox. w-center Algo1
27,1c:b9:c4:16:1d:78,Ariel_University,2412,-83.0,32.10385601291003,35.20909369934647,687.0,2017-12-03 08:53:54,Aprrox. w-center Algo1
28,1c:b9:c4:16:cc:d8,Ariel_University,2412,-92.0,32.104198361484926,35.20919350139246,685.5370355129236,2017-12-03 08:53:54,Aprrox. w-center Algo1
29,ec:8c:a2:26:d3:68,Ariel_University,2462,-87.0,32.10384103797771,35.2090194607844,684.6488641234462,2017-12-03 08:54:21,Aprrox. w-center Algo1
30,1c:b9:c4:15:1c:b8,Ariel_University,2412,-89.0,32.10385179783402,35.210022168124276,696.2530309269264,2017-12-03 08:55:30,Aprrox. w-center Algo1
31,ec:8c:a2:26:b0:e8,Ariel_University,2437,-86.0,32.10367975381124,35.20894815836978,684.4882369222253,2017-12-03 08:54:00,Aprrox. w-center Algo1
32,00:02:6f:8e:64:67, ,2412,-91.0,32.10419361,35.20917533,685.0,2017-12-03 08:54:00,Aprrox. w-center Algo1
33,b2:6c:ac:9f:f1:c5,paysday,2417,-92.0,32.104120940418746,35.20909271850671,685.0,2017-12-03 08:54:00,Aprrox. w-center Algo1
34,b2:6c:ac:a0:3d:eb,sinusafe,2422,-75.0,32.10406321,35.20902709,685.0,2017-12-03 08:54:03,Aprrox. w-center Algo1
35,1c:b9:c4:16:28:e8,Ariel_University,2412,-77.0,32.10339962539923,35.20887450174622,685.700714863043,2017-12-03 08:54:33,Aprrox. w-center Algo1
36,b2:6c:ac:a0:7b:4d,magneto,2462,-78.0,32.10406321,35.20902709,685.0,2017-12-03 08:54:03,Aprrox. w-center Algo1
37,1c:b9:c4:15:fd:48,Ariel_University,2412,-84.0,32.103838000233466,35.21000470799793,698.6908557589472,2017-12-03 08:54:03,Aprrox. w-center Algo1
38,8c:0c:90:2e:16:88,Ariel_University,2462,-87.0,32.10351562604915,35.20922592321378,694.6152531494745,2017-12-03 08:54:24,Aprrox. w-center Algo1
39,ec:8c:a2:08:78:c8,Ariel_University,2437,-86.0,32.103295891783304,35.20881909642111,686.0,2017-12-03 08:54:33,Aprrox. w-center Algo1
40,e0:10:7f:1a:bd:98,Ariel_University,2437,-88.0,32.10376365,35.20883622,686.0,2017-12-03 08:54:09,Aprrox. w-center Algo1
41,1c:b9:c4:16:1d:7c,Ariel_University,5220,-90.0,32.103709233473644,35.20946173543435,698.1977167515367,2017-12-03 09:06:10,Aprrox. w-center Algo1
42,1c:b9:c4:16:d2:88,Ariel_University,2462,-89.0,32.10323197897321,35.20881018142672,686.0,2017-12-03 08:54:09,Aprrox. w-center Algo1
43,ec:8c:a2:08:94:18,Ariel_University,2412,-73.0,32.10307379422832,35.208807000377206,686.9664072843237,2017-12-03 08:54:36,Aprrox. w-center Algo1
44,1c:b9:c4:12:7c:c8,Ariel_University,2462,-73.0,32.10295457,35.208804300000004,686.0,2017-12-03 08:54:15,Aprrox. w-center Algo1
45,1c:b9:c4:16:f4:78,Ariel_University,2412,-85.0,32.10285049573269,35.20887728427357,686.3118177377053,2017-12-03 08:54:18,Aprrox. w-center Algo1
46,34:8f:27:20:8c:18,Ariel_University,2437,-86.0,32.102796625,35.208847085,687.5,2017-12-03 08:54:18,Aprrox. w-center Algo1
47,1c:b9:c4:12:90:b8,Ariel_University,2462,-87.0,32.10315651767399,35.20952905002042,690.808214347335,2017-12-03 08:55:20,Aprrox. w-center Algo1
48,1c:b9:c4:16:28:f8,Ariel_University,2437,-80.0,32.102587651350355,35.20911465444877,688.1025051333153,2017-12-03 08:54:21,Aprrox. w-center Algo1
49,1c:b9:c4:96:d2:87, ,5220,-90.0,32.103126799123665,35.20918233035737,695.5706069066978,2017-12-03 09:05:15,Aprrox. w-center Algo1
50,8c:0c:90:2d:75:e8,Ariel_University,2412,-83.0,32.10299286801841,35.2087247441551,686.1497893587143,2017-12-03 08:54:21,Aprrox. w-center Algo1
